company_id,company_name,return_on_equity_pct,debt_to_equity,operating_profit_margin_pct,asset_turnover,free_cash_flow_cr,cluster,distance_from_centroid,cluster_name
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,17.94,0.0,95.0,0.0313,104.0,1,0.14081855544877783,Value
BAJAJFINSV,Bajaj Finserv Ltd,25.85,4.7894,37.0,0.2054,-79634.0,0,2.6401274058925126,High Growth
AXISBANK,Axis Bank Ltd,15.62,8.9346,1353.0,0.0798,-8366.0,1,0.8041837466449427,Value
BAJAJ-AUTO,Bajaj Auto Ltd,22.84,0.0067,20.0,1.0054,-343.0,1,0.15916647972874834,Value
BHEL,"Bharat Heavy Electricals Limited
",21.91,0.0883,19.0,0.6809,646.0,1,0.09636052056639495,Value
BOSCHLTD,Bosch Ltd,16.06,0.0052,19.0,0.7803,323.0,1,0.11644131513466549,Value
BAJFINANCE,Bajaj Finance Ltd,11.97,3.5656,6314.0,0.1556,-1236.0,1,1.3309965471530314,Value
BANKBARODA,Bank of Baroda,15.76,12.1437,4102.0,0.0715,-7559.0,1,1.1228805783410314,Value
BEL,Bharat Electronics Ltd,15183.33,4.0,11.0,139.4,214.0,3,4.382705745143477,Turnaround
BHARTIARTL,Bharti Airtel Ltd,5.050000000000001,1.2701,31.0,0.4731,1052.0,1,0.06080061658606507,Value
ADANIGREEN,Adani Green Energy Ltd,-3.91,3.6135,80.0,0.0815,-1483.0,1,0.24154637114496255,Value
ADANIENT,Adani Enterprises Ltd,5.69,3.2404,13.0,0.4145,-7124.0,1,0.6365635385019272,Value
ADANIENSOL,Adani Energy Solutions Ltd,0.0,0.0,23.0,0.7102,0.0,1,0.13809173555459378,Value
ABB,Abbott India Ltd,28.33,0.0539,22.0,1.1631,161.0,1,0.1258317716714296,Value
AMBUJACEM,Ambuja Cements Ltd,14.69,0.0068,25.0,0.7897,1472.0,1,0.06081721249731494,Value
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",6.0,1.1017,11.0,1.0492,194.0,1,0.11350283008605559,Value
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",23.31,0.1394,20.0,1.1841,1552.0,1,0.055110914432289194,Value
ADANIPOWER,Adani Power Ltd,-53.45999999999999,9.7356,14.0,0.1224,-1063.0,1,0.3093435461651609,Value
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",14.87,1.188,50.0,0.1918,6653.0,1,0.3558599288307862,Value
BPCL,Bharat Petroleum Corporation Ltd,35.51000000000001,0.7219,10.0,2.2137,25415.0,1,1.6982352202409898,Value
HDFCLIFE,HDFC Life Insurance Company Ltd,33.43,0.0,525.0,0.3354,197.0,1,0.16946151496346623,Value
HDFCBANK,HDFC Bank Ltd,15.43,7.217,20795.0,0.064,-14011.0,4,1.4678354931514712,High Risk
HCLTECH,HCL Technologies Ltd,30.69,0.0793,22.0,1.1421,2131.0,1,0.06216041592792031,Value
GRASIM,Grasim Industries Ltd,11.2,1.5471,21.0,0.3178,-33833.0,0,0.6495534209896887,High Growth
HAVELLS,Havells India Ltd,40.29,0.681,9.0,1.6005,494.0,1,0.1018044839531967,Value
HAL,Hindustan Aeronautics Ltd,1528.46,0.0231,19.0,111.5602,-140.0,3,4.382705745143481,Turnaround
ICICIGI,ICICI Lombard General Insurance Company Ltd,15.72,0.0029,2577.0,0.3236,486.0,1,0.5477546395358696,Value
INDUSINDBK,IndusInd Bank Ltd,13.91,8.3324,286.0,0.0953,-660.0,1,0.2640813833397927,Value
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,38.25,0.0,745.0,0.2662,-1077.0,1,0.2638594386374409,Value
HEROMOTOCO,"Hero MotoCorp Ltd
",31.09,0.019,5334.0,1.8657,2159.0,1,1.1115392170372582,Value
ICICIBANK,ICICI Bank Ltd,14.73,7.0919,-15085.0,0.0665,-1069.0,1,3.141649555870833,Value
HINDUNILVR,"Hindustan Unilever Ltd
",134.0,0.0087,4220.0,2.2332,3668.0,1,0.8952645017724266,Value
HINDALCO,Hindalco Industries Ltd,10.65,0.6359,22666.0,0.9987,11649.0,4,1.0558394968863345,High Risk
DABUR,Dabur India Ltd,36.56,0.5494,16.0,1.3039,248.0,1,0.11546733875266653,Value
COALINDIA,Coal India Ltd,51.93,0.2001,21581.0,0.6404,6010.0,4,0.8044895184684664,High Risk
CIPLA,"Cipla Ltd
",17.13,0.1072,2214.0,0.7102,-665.0,1,0.49502954281809525,Value
BRITANNIA,Britannia Industries Ltd,46.59,0.681,7.0,3.2847,348.0,1,0.16021185693386664,Value
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,15.78,7.8222,472.0,0.141,-3749.0,1,0.44192104593984743,Value
CANBK,Canara Bank,-10.5,15.2792,-13350.0,0.0655,-11607.0,1,2.9571453958904175,Value
GODREJCP,Godrej Consumer Products Ltd,25.51,0.7413,16.0,0.8333,-45.0,1,0.1325362002125215,Value
GAIL,GAIL (India) Ltd,14.75,0.5711,13.0,0.9237,149.0,1,0.12054771399662054,Value
EICHERMOT,Eicher Motors Ltd,22.17,0.0232,26.0,0.7154,890.0,1,0.08386581839829003,Value
DIVISLAB,Divis Laboratories Ltd,19.79,0.0067,36.0,0.6603,10.0,1,0.13715604610390505,Value
DRREDDY,Dr Reddys Laboratories Ltd,23.98,0.5781,23.0,0.8844,-59.0,1,0.13471236557239183,Value
DMART,Avenue Supermarts Ltd,11.91,0.6667,6.0,2.2393,-104.0,1,0.1514263658044212,Value
DLF,DLF Ltd,4.130000000000001,0.115,30.0,0.1117,3099.0,1,0.12133956506421326,Value
INDIGO,Interglobe Aviation Ltd,892.57,0.0186,16331.0,56.3863,9424.0,4,2.416120392867483,High Risk
